,st
0,0.3705811581138464
1,0.7540253354107542
2,-0.8142161519810371
3,-0.19343719694853068
4,-1.673969135237444
5,-3.2813341281290973
6,-2.474095185038251
7,-2.280175799935441
8,-1.3230524421763488
9,-1.3169649956636778
10,-0.27401673076816113
11,0.06014007539112623
12,-1.2595115287852954
13,-1.4788658183104135
14,-2.534619201497651
15,-1.2301448270837452
16,0.022097078422845084
17,0.39811089737667393
18,2.0051026774580896
19,0.5677989946424596
20,-0.24377769811337657
21,0.5955681361085734
22,-2.1418978556178456
23,-3.382384160166508
24,-1.9127370127616483
25,-1.4289472993685486
26,-1.2189231811550691
27,-0.8286360404942671
28,-1.2351366355187374
29,-2.774480483518295
30,-1.683113865098103
31,-1.9657587901175293
32,-1.9960067481482697
33,-0.828977917638288
34,-1.3199238625990892
35,-0.0867525736386473
36,-0.09418929876506926
37,-0.6644314812738397
38,-0.1603997448425873
39,-1.9088883755629977
40,-1.800825487169929
41,-1.4759803542434637
42,-1.5811080758134999
43,-0.9346789670382988
44,-1.0643699010008125
45,-1.4678490328498701
46,1.0308098301503734
47,0.5431377878629297
48,0.1273866076891446
49,1.8975018754708906
50,3.2231637772996646
51,2.3494348480053566
52,0.9687523468974907
53,0.6373812600833038
54,0.3656854795236936
55,-0.7206429789317685
56,0.769513953863616
57,0.48822060835959735
58,-0.23265612303284458
59,-0.8184297955567418
60,-0.6260384493721546
61,-0.0632404142832827
62,-0.5862356640551094
63,0.5372660084543917
64,0.4200526333394662
65,0.5177962073536885
66,1.4464103087630884
67,0.5244003682010429
68,-1.2454720967066608
69,-0.565364433922926
70,-0.5041444921064695
71,-1.3350496318112746
72,-1.4622981435483084
73,-1.2069969750371663
74,-0.35837662702605594
75,-0.6687263616826422
76,0.8079158093108894
77,2.830062621208648
78,3.1948756669910416
79,2.9355601784308822
80,2.3602270468714313
81,2.217414184998917
82,-0.014525500328845364
83,-1.2154893694138358
84,-0.6228244803830624
85,-1.05993685279056
86,-0.1313342981171241
87,-0.6572906225256812
88,3.095075968848923
89,3.144151663865585
90,1.1747520207685935
91,1.4268036052978932
92,-0.8143203073951382
93,-0.7451737640488412
94,-0.5803488317467885
95,-0.5975600685321052
96,-0.5351546574373581
97,-1.7540806406144305
98,-2.570279127641482
99,-2.4757860314119027
100,-0.366361912268399
101,0.7601149830567864
102,-0.8903376890236957
103,-1.8823953857648656
104,-1.4988522247030216
105,-1.9374289171049464
106,-0.978776394539588
107,-0.784489393543834
108,-1.4831254358090846
109,-0.6365399842877602
110,0.36929061968179494
111,-0.5508643255501287
112,-1.3791934781910515
113,-2.0321366144726603
114,-1.8597990532466082
115,1.0833393309723442
116,0.9082481758754809
117,-0.415711540479314
118,1.4221757611223151
119,2.6207525684983506
120,3.649034227946954
121,2.3427772633947157
122,-0.3714930356034304
123,-0.24222175936236434
124,-1.0599798826185258
125,-1.9144656621317349
126,-0.5908127822995042
127,-0.012144090729068524
128,-0.6426967517590816
129,-1.7031412969020145
130,-1.732452104484998
131,-0.2144724616363003
132,0.20730244603298204
133,0.7088179305923301
134,-0.33947046339192966
135,-0.8716533604806401
136,-0.8850337674939499
137,-1.6285176444715335
138,-1.513824640043204
139,-2.4199268162993905
140,-2.271705293265904
141,-1.723624605013343
142,-1.610766611259265
143,-0.07910578628804743
144,-1.8996962179894632
145,-0.7842442856895268
146,-1.6506602602059401
147,-1.5445168588314362
148,1.4515782101613044
149,0.6844490882433953
150,0.1260377209044623
151,-0.4750551962810817
152,-0.3732219061932177
153,-0.7449711758866989
154,-2.2199631136156754
155,-1.8595416701843424
156,-1.0696101875876516
157,-0.4995247575104898
158,1.8647664317923218
159,2.4995253974241836
160,0.6491847487165918
161,1.2220428698736172
162,-1.5062574367640027
163,-1.9618915479453787
164,-0.723252231104259
165,-0.6191293844781032
166,-0.8494933437620227
167,-1.2725495858631346
168,-0.0009508177890467095
169,-0.6410827224857452
170,0.7184446419828037
171,-1.1303726504027622
172,-0.30252507550137464
173,-0.545135075285397
174,-1.1539174728297827
175,-1.5179000483948624
176,-2.9144516761578103
177,-1.3390043890497139
178,-2.5167785204753446
179,-1.8980390961083422
180,-0.5595501868370409
181,-0.3840176798901172
182,0.7639566895345324
183,0.5000517915555717
184,-1.2165240239001907
185,-0.8772822791620616
186,-0.9414642015674468
187,-1.209328007231777
188,-2.7600426288953073
189,-1.8554946520807856
190,-1.6102184684827736
191,-2.420273533160188
192,-2.035328337638325
193,-3.238731348437179
194,-2.7588388385973643
195,-2.3092481476333093
196,-2.7190950709071267
197,-2.2916285157886334
198,-0.3898708918234983
199,-0.6592203884014256
200,1.1039212715569287
201,2.6598203794895
202,1.2828157185359736
203,0.8616453604063284
204,-0.0060629913579694494
205,0.8243565862433886
206,-1.6409580389285605
207,-0.7363973967517323
208,-0.8895466635783084
209,-0.7945776807402452
210,-1.0274112837705411
211,-2.578655680190282
212,-2.022440678078984
213,-0.8167306664316095
214,0.4084936534930247
215,1.31795461738866
216,1.036508453120006
217,1.4719979026205015
218,1.4389699507574922
219,0.9811104161915498
220,-0.3832071707269855
221,-1.301016219645134
222,-0.26631315686062673
223,1.1479666190749853
224,2.4289770546455953
225,3.6835322383297964
226,3.2066567201140965
227,1.480722250028349
228,0.016384854233319257
229,-0.9848839835459269
230,0.3280467790177797
231,-0.9901991978893645
232,1.1218033950321025
233,1.3849522357641408
234,-0.21480647514619067
235,1.331693121470296
236,1.1727472217829855
237,0.7846308978166121
238,2.0475294407597766
239,2.0853721726696697
240,1.7752296849668714
241,1.4258747225613808
242,0.953301239263961
243,0.33592977592950796
244,0.2969773618821615
245,-1.0376565085198126
246,-1.3663811115121154
247,-0.9180063736815074
248,-1.687380395349082
249,-2.3627393342086602
250,-1.638932796178375
251,0.1325144747753606
252,0.7273196753408253
253,0.22763537873852202
254,-2.6268293363719573
255,-0.47575880476149957
256,-1.9498459225125528
257,-1.048045793893181
258,0.315022075225099
259,-1.0318270592782384
260,-0.9044593875735962
261,-2.0101340181753877
262,-2.1668547680357673
263,0.010627374584228688
264,-1.1665094652318777
265,-0.6057947349501147
266,-1.2330329362542058
267,-2.1896410082000273
268,-0.7730019834118158
269,0.47220404720407627
270,0.7903775557968628
271,-0.5349073161973388
272,-0.5319436783104732
273,0.2875431610535202
274,0.04623542094029093
275,-0.9156607507660627
276,-1.0842093317421093
277,-1.429209477858722
278,-1.8650320718131868
279,-2.490154868274331
280,-1.972116779980198
281,0.27682384108789604
282,2.464829152660988
283,3.830452864184802
284,3.2718846656774336
285,-0.8488989591714398
286,-1.1461905388021227
287,-3.157555222603877
288,-3.217461083543946
289,-1.31801250051413
290,-0.5977146707917351
291,0.19759811575499492
292,-0.317685158881998
293,-1.036968095196662
294,-1.504723136905219
295,-0.37225122159624746
296,1.8808582047397018
297,1.6345717861646978
298,0.7730458314756421
299,-1.440157572445388
300,-0.32803087346567206
301,0.00020662339359697746
302,0.7642602156207062
303,2.254937243929522
304,2.2122477742269715
305,0.6001229471143592
306,0.17088089357889424
307,-0.3452634405625797
308,-1.4430466238308082
309,-1.7216276604800544
310,-1.2305322068991558
311,0.794213184083035
312,1.2290072321682726
313,2.478949217005333
314,1.9179380258151293
315,1.835360297122132
316,0.09139379700597661
317,0.3194274100336528
318,-0.014826657104459962
319,0.49125244019514647
320,1.047455322342699
321,0.2785276131679702
322,1.1957432589651251
323,0.475413527860679
324,-0.5730497497184643
325,-0.7704379056213884
326,-0.5743364805190005
327,1.7272140623020449
328,1.468938290715363
329,-0.3561351651119249
330,0.5972788872956409
331,0.5472326592407195
332,-0.5909366540419344
333,-0.9728218202412551
334,-1.8559608445267137
335,-2.6751115695630086
336,-3.672916653878632
337,-1.9795243183336084
338,-1.4370458826464385
339,-0.31184104720241085
340,-0.2926242017348052
341,1.2854009200780105
342,0.6905632585461938
343,-0.24000675482082023
344,1.3234710113163113
345,-0.243649036986179
346,0.4529462467165577
347,0.19842073658819886
348,-0.40344788039224083
349,-0.012452200786062392
350,-0.11315537161743176
351,-0.2521717192553924
352,1.3408651045223245
353,0.6700335440791203
354,1.9650736962973836
355,0.7581530050863852
356,-1.7005662622381665
357,-0.10534505507849534
358,-0.04808460771916026
359,0.8971247095710273
360,0.8802326687142837
361,0.9632186919012514
362,1.2785458583572087
363,1.658705887204103
364,2.7526028309673745
365,2.4465648021618964
366,1.9013097647522266
367,0.37525578654526004
368,-0.5657612561369147
369,-3.0264064238596573
370,-2.2360561439634226
371,-1.059798752956893
372,0.47133944509778947
373,-0.38631721564116384
374,1.4817401887275516
375,1.0424510253163624
376,2.062384084710859
377,2.260376470411798
378,1.1217857425177984
379,0.2427363540966747
380,0.28278153900387965
381,0.6048766445513007
382,0.46987309428612234
383,1.7266775129560954
384,2.14868166071724
385,2.110613777114272
386,1.9832357676955419
387,2.4620663581290367
388,1.108962772560914
389,0.7608540882431762
390,1.1710820785054217
391,2.1867172907766297
392,1.5435866348398166
393,0.47681015750145717
394,-0.24506315862894523
395,0.1604730797179793
396,-1.3783190643594851
397,-1.696909418009476
398,-1.1991836360409676
399,-1.371339951725818
400,0.6679863941128704
401,0.44801937606640885
402,-0.295081440351204
403,0.6614257350545614
404,0.14863854503406304
405,1.7132547326083016
406,2.5086692674390263
407,1.9368914902128034
408,0.6584269109158744
409,-1.7142501100025933
410,-0.1522611324413019
411,1.1959019037742087
412,2.3604351541203275
413,2.344385262834797
414,0.44073244251300825
415,0.9618620692294872
416,0.5504131758343923
417,0.6097268081657157
418,0.5557565432701964
419,-0.7186419468288908
420,-1.5682668550984737
421,-0.7778256615102017
422,-0.15213252505168917
423,-0.11640001712315243
424,0.41306166737626165
425,-1.0515815649856277
426,-0.7845396649027817
427,0.07238516902896197
428,-0.4151505248182735
429,0.936069346816844
430,-0.39414649187884443
431,-0.3916934527140438
432,-0.8704910584125439
433,-0.46532464517240335
434,-1.0146311761771774
435,-0.7194338134344025
436,1.1184765703492372
437,1.9571185652419572
438,2.3640787090379902
439,1.8657871357038334
440,-0.5878350118510711
441,-0.6558027273615025
442,-2.046267445631186
443,-0.6922569500779203
444,-0.20694110402269322
445,-1.2914851542161987
446,0.9483775794757558
447,1.9871443153632171
448,0.1261873920050267
449,-0.15020924516000106
450,-0.37835250833825884
451,-0.24924956364877754
452,1.1527608986292583
453,0.031067282393228424
454,-0.33693618539759473
455,-0.7571076581351575
456,-1.061694564216595
457,-0.3058156194384483
458,0.5299834404268398
459,-1.1631536590667617
460,-1.7291524453108438
461,-0.7354365533552017
462,-0.23092550359797098
463,-0.1649570458478654
464,0.6579045252593427
465,-1.60502806087877
466,-1.9324611293808784
467,-1.009299179203839
468,-0.2641918766970972
469,0.051146557589203445
470,-0.42487139170596766
471,0.8895329409220365
472,-0.5232814675547984
473,-0.3279994355914985
474,-0.5409113401034746
475,-0.36643131306047216
476,0.5297683192864038
477,-0.35434259158100057
478,-0.8927198252874755
479,-0.84175307743949
480,-0.24136425056583583
481,0.7068526286467642
482,0.5081467705765188
483,-0.7604653863195654
484,-0.6101524526110628
485,-0.6018831681047642
486,1.82082439007304
487,3.064725770291927
488,1.2956743769381092
489,-0.12222019105625948
490,-1.4151617645946373
491,-2.0803340794085274
492,-1.4179795693047395
493,0.3595930123975267
494,-0.04208802007335455
495,0.34219254985142133
496,-0.39714679533516634
497,-1.786479504071457
498,0.15144467186523025
499,0.6366741365656539
